Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44780.80118,Yes,25 - 34,Married,University education,Full-time employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South South,To generate multiple sources of income,Yes,Yes,Digital Lenders,Digital Lenders,To expand your current business,Formal loan from a commercial bank,High interest rates,Work information,The instability of the economy,Convenience and customer service,Mobile app,Fairmoney,Advertising,Male,6zkvfmnop0
44780.89958,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",My parents make the decision,None,Live with parents or guardian,Abuja,"To have my own business, To be able to invest, To pay my rent, To pay my fees, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, To pay for a medical need","Formal loan from a commercial bank, Digital lenders, Informal lenders, Family and friends","Onboarding process, Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Fees and service charge, Brand of the lender, Longevity in the market, Financial stability, Security, trust, and discretion",Mobile app,fairmoney,"Advertising, Social media",Female,tefs5ps
44779.71671,Yes,18 - 24,Married,College education,Self-employed,"N100,000 - N300,000",My partner is the decision maker,Partner/Spouse,Own the property,North West,To grow my current business,No,No,"Commercial Banks, Microfinance Banks",None,To expand your current business,"Formal loan from a commercial bank, Micro financing, Digital lenders","Onboarding process, High interest rates, Getting approval for the loan","Home address, Work information, Bank statement, Guarantor details",Lack of the requirements to take out loan,"Speed, Fees and service charge, Brand of the lender",Branch,Irorun,"Word of mouth referrals, Direct marketing, Social media",Male,69rha7i
44779.77,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",My parents make the decision,Parents,Live with parents or guardian,North East,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Digital lenders,High interest rates,Guarantor details,Fear of being embarrassed by the lender,Fees and service charge,Mobile app,Fair money,Social media,Male,k5lq5c5
44779.71777,Yes,18 - 24,Single,University education,Part-time employed,"N50,000 - N100,000",Myself only,None,Live with parents or guardian,Lagos,To leave Nigeria,No,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",None,To pay for a medical need,Formal loan from a commercial bank,Getting approval for the loan,"Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Security, trust, and discretion",Mobile app,Irorun,Social media,Male,qkvkkkj
44780.46177,Yes,18 - 24,Single,Secondary education,Full-time employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Rent the property,Lagos,To be able to invest,No,Yes,Microfinance Banks,Microfinance Banks,To start a new business,Micro financing,Getting approval for the loan,Salary details,"The instability of the economy, Lack of the requirements to take out loan","Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Financial stability",Mobile app,Fair money ,Word of mouth referrals,Male,dk8f4y0
44780.73481,Yes,18 - 24,Single,University education,Full-time employed,"N0 - N50,000",Myself only,Parents,Own the property,South East,To grow my current business,Yes,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,Family and friends,"Onboarding process, High interest rates",Home address,Fear of not having money to repay the loan,Interest rates,Mobile app,Mobile app,Social media,Female,1nw9ybc
44789.66404,Yes,25 - 34,Married,Secondary education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Parents,Rent the property,Lagos,"To grow my current business, To increase the number of personal assets I own, To generate multiple sources of income, To secure my finances",Yes,Yes,Microfinance Banks,Microfinance Banks,To expand your current business,Micro financing,"Providing collateral, High interest rates, Getting approval for the loan",Home address,Lack of the requirements to take out loan,"Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,FairMoney ,"Word of mouth referrals, Social media",Female,o63zoxom2b
44783.42234,Yes,18 - 24,Single,University education,Student,"N50,000 - N100,000",My parents make the decision,None,Live with parents or guardian,Abuja,To secure my finances,Yes,No,"Commercial Banks, Microfinance Banks, Digital Lenders",None,"To pay for school fees, To start a new business","Formal loan from a commercial bank, Micro financing, Digital lenders","High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of not having money to repay the loan,"Security, trust, and discretion",Mobile app,Iroron,Social media,Male,3zhc3d6
44781.38716,Yes,18 - 24,Single,Post-graduate education,Student,"N0 - N50,000",My partner and I make joint decisions,Parents,Live with parents or guardian,North East,To generate multiple sources of income,No,No,Microfinance Banks,None,To start a new business,Micro financing,Getting approval for the loan,Bank statement,I don’t have a barrier,Honsety,Branch,Good,Face to face,Male,66y7wqyvep
